assay,scheme,spearman,n
SQSTM_MOUSE_Tsuboyama_2023_2RRU,fold_contiguous_5,0.8141220132751534,707
SRBS1_HUMAN_Tsuboyama_2023_2O2W,fold_random_5,0.9400946007738261,1211
SRBS1_HUMAN_Tsuboyama_2023_2O2W,fold_modulo_5,0.779141447125533,1211
SRBS1_HUMAN_Tsuboyama_2023_2O2W,fold_contiguous_5,0.787523609478758,1211
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,fold_random_5,0.7748137969671723,3637
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,fold_modulo_5,0.557076000377333,3637
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,fold_contiguous_5,0.5231555810805896,3637
SUMO1_HUMAN_Weile_2017,fold_random_5,0.6656385641148207,1700
SUMO1_HUMAN_Weile_2017,fold_modulo_5,0.5727430302186427,1700
SUMO1_HUMAN_Weile_2017,fold_contiguous_5,0.5376046437149112,1700
TADBP_HUMAN_Bolognesi_2019,fold_random_5,0.8284725213943923,1196
TADBP_HUMAN_Bolognesi_2019,fold_modulo_5,0.8150034335377072,1196
TADBP_HUMAN_Bolognesi_2019,fold_contiguous_5,0.8044428517484139,1196
TCRG1_MOUSE_Tsuboyama_2023_1E0L,fold_random_5,0.939308975477884,621
TCRG1_MOUSE_Tsuboyama_2023_1E0L,fold_modulo_5,0.8983147243899497,621
TCRG1_MOUSE_Tsuboyama_2023_1E0L,fold_contiguous_5,0.9069118163687819,621
TNKS2_HUMAN_Tsuboyama_2023_5JRT,fold_random_5,0.949624581768594,1118
TNKS2_HUMAN_Tsuboyama_2023_5JRT,fold_modulo_5,0.8437805345291676,1118
TNKS2_HUMAN_Tsuboyama_2023_5JRT,fold_contiguous_5,0.8159886448874257,1118
TPMT_HUMAN_Matreyek_2018,fold_random_5,0.6273663946194363,3648
TPMT_HUMAN_Matreyek_2018,fold_modulo_5,0.6020151172191154,3648
TPMT_HUMAN_Matreyek_2018,fold_contiguous_5,0.6224055093686883,3648
TRPC_SACS2_Chan_2017,fold_random_5,0.8253701001266693,1519
TRPC_SACS2_Chan_2017,fold_modulo_5,0.6883842436045968,1519
TRPC_SACS2_Chan_2017,fold_contiguous_5,0.6880898377326317,1519
UBC9_HUMAN_Weile_2017,fold_random_5,0.7344975808578972,2563
UBC9_HUMAN_Weile_2017,fold_modulo_5,0.6076426497723029,2563
UBC9_HUMAN_Weile_2017,fold_contiguous_5,0.545916754797393,2563
UBE4B_MOUSE_Starita_2013,fold_random_5,0.5621768691416494,899
UBE4B_MOUSE_Starita_2013,fold_modulo_5,0.49066740715241547,899
UBE4B_MOUSE_Starita_2013,fold_contiguous_5,0.4438033340834597,899
VG08_BPP22_Tsuboyama_2023_2GP8,fold_random_5,0.9365373693404992,723
VG08_BPP22_Tsuboyama_2023_2GP8,fold_modulo_5,0.8581684534230042,723
VG08_BPP22_Tsuboyama_2023_2GP8,fold_contiguous_5,0.862054496041371,723
VKOR1_HUMAN_Chiasson_2020_abundance,fold_random_5,0.8346173893126358,2695
VKOR1_HUMAN_Chiasson_2020_abundance,fold_modulo_5,0.6745978714963903,2695
VKOR1_HUMAN_Chiasson_2020_abundance,fold_contiguous_5,0.6315008237205963,2695
VRPI_BPT7_Tsuboyama_2023_2WNM,fold_random_5,0.9303085804930652,1047
VRPI_BPT7_Tsuboyama_2023_2WNM,fold_modulo_5,0.8607644760108072,1047
VRPI_BPT7_Tsuboyama_2023_2WNM,fold_contiguous_5,0.8521948700749816,1047
YAP1_HUMAN_Araya_2012,fold_random_5,0.8140109465144143,362
YAP1_HUMAN_Araya_2012,fold_modulo_5,0.7216433912313291,362
YAP1_HUMAN_Araya_2012,fold_contiguous_5,0.7135702143889657,362
