assay,scheme,spearman
CP2C9_HUMAN_Amorosi_2021_abundance,fold_random_5,0.8288937478030015
CP2C9_HUMAN_Amorosi_2021_abundance,fold_modulo_5,0.7662954712797574
CP2C9_HUMAN_Amorosi_2021_abundance,fold_contiguous_5,0.7198277635372977
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,fold_random_5,0.7400088472570614
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,fold_modulo_5,0.545652581311754
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,fold_contiguous_5,0.5448145147691758
TPK1_HUMAN_Weile_2017,fold_random_5,0.42404113144847977
TPK1_HUMAN_Weile_2017,fold_modulo_5,0.3488342039081405
TPK1_HUMAN_Weile_2017,fold_contiguous_5,0.3211759346221371
EPHB2_HUMAN_Tsuboyama_2023_1F0M,fold_random_5,0.9275141680368986
EPHB2_HUMAN_Tsuboyama_2023_1F0M,fold_modulo_5,0.8180084004443121
EPHB2_HUMAN_Tsuboyama_2023_1F0M,fold_contiguous_5,0.7879894996338825
RD23A_HUMAN_Tsuboyama_2023_1IFY,fold_random_5,0.9326385082984849
RD23A_HUMAN_Tsuboyama_2023_1IFY,fold_modulo_5,0.8288059695377518
RD23A_HUMAN_Tsuboyama_2023_1IFY,fold_contiguous_5,0.8407947340426418
BLAT_ECOLX_Deng_2012,fold_random_5,0.8465947643518082
BLAT_ECOLX_Deng_2012,fold_modulo_5,0.5928182032308429
BLAT_ECOLX_Deng_2012,fold_contiguous_5,0.49985092723377955
SPTN1_CHICK_Tsuboyama_2023_1TUD,fold_random_5,0.9148785435458637
SPTN1_CHICK_Tsuboyama_2023_1TUD,fold_modulo_5,0.7492427428728542
SPTN1_CHICK_Tsuboyama_2023_1TUD,fold_contiguous_5,0.7824447268605826
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,fold_random_5,0.824671319789205
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,fold_modulo_5,0.2049682158755748
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,fold_contiguous_5,0.014519940645208567
GFP_AEQVI_Sarkisyan_2016,fold_random_5,0.56753420251604
GFP_AEQVI_Sarkisyan_2016,fold_modulo_5,0.4966386838734159
GFP_AEQVI_Sarkisyan_2016,fold_contiguous_5,0.42654966492800434
SPIKE_SARS2_Starr_2020_binding,fold_random_5,0.8408196821904702
SPIKE_SARS2_Starr_2020_binding,fold_modulo_5,0.7055112789532416
SPIKE_SARS2_Starr_2020_binding,fold_contiguous_5,0.6947135396694627
KCNE1_HUMAN_Muhammad_2023_function,fold_random_5,0.7859287519621526
KCNE1_HUMAN_Muhammad_2023_function,fold_modulo_5,0.6895497958508154
KCNE1_HUMAN_Muhammad_2023_function,fold_contiguous_5,0.6826939469000007
CAPSD_AAV2S_Sinai_2021,fold_random_5,0.8177848347775025
CAPSD_AAV2S_Sinai_2021,fold_modulo_5,0.6183673161980858
CAPSD_AAV2S_Sinai_2021,fold_contiguous_5,0.5135256017743345
A0A2Z5U3Z0_9INFA_Doud_2016,fold_random_5,0.8357458155739088
A0A2Z5U3Z0_9INFA_Doud_2016,fold_modulo_5,0.7079179701030551
A0A2Z5U3Z0_9INFA_Doud_2016,fold_contiguous_5,0.6341119351315343
MK01_HUMAN_Brenan_2016,fold_random_5,0.5995303969390545
MK01_HUMAN_Brenan_2016,fold_modulo_5,0.5115151606505091
MK01_HUMAN_Brenan_2016,fold_contiguous_5,0.4527030267610636
OTC_HUMAN_Lo_2023,fold_random_5,0.8691559164622906
OTC_HUMAN_Lo_2023,fold_modulo_5,0.8062493921920247
OTC_HUMAN_Lo_2023,fold_contiguous_5,0.7680969579718869
OPSD_HUMAN_Wan_2019,fold_random_5,0.7274383565303343
OPSD_HUMAN_Wan_2019,fold_modulo_5,0.7248791173563434
OPSD_HUMAN_Wan_2019,fold_contiguous_5,0.6959581118264634
RASK_HUMAN_Weng_2022_abundance,fold_random_5,0.7694063721992243
RASK_HUMAN_Weng_2022_abundance,fold_modulo_5,0.6498975826141953
RASK_HUMAN_Weng_2022_abundance,fold_contiguous_5,0.5580267648238179
A0A1I9GEU1_NEIME_Kennouche_2019,fold_random_5,0.08893423004819545
A0A1I9GEU1_NEIME_Kennouche_2019,fold_modulo_5,0.05054861591756768
A0A1I9GEU1_NEIME_Kennouche_2019,fold_contiguous_5,0.06814539644521575
SC6A4_HUMAN_Young_2021,fold_random_5,0.7358499178625393
SC6A4_HUMAN_Young_2021,fold_modulo_5,0.6687910034762825
SC6A4_HUMAN_Young_2021,fold_contiguous_5,0.6126527231577369
OXDA_RHOTO_Vanella_2023_expression,fold_random_5,0.661187383981681
OXDA_RHOTO_Vanella_2023_expression,fold_modulo_5,0.6135794812025801
OXDA_RHOTO_Vanella_2023_expression,fold_contiguous_5,0.5967124287349769
OBSCN_HUMAN_Tsuboyama_2023_1V1C,fold_random_5,0.9313722225974713
OBSCN_HUMAN_Tsuboyama_2023_1V1C,fold_modulo_5,0.8375560077402134
OBSCN_HUMAN_Tsuboyama_2023_1V1C,fold_contiguous_5,0.8226674085529921
RDRP_I33A0_Li_2023,fold_random_5,0.6580737605501906
